1900.38	249.0   men's 1500 metre
1900.54	246.2 
1904.71	245.4 
1908.21	239.8 
1912.21	239.2 
1912.46	236.8 
1912.46	235.8 
1915.54	235.0 
1917.63	234.7 
1923.63	233.0 
1924.46	232.6 
1926.71	231.0 
1930.79	229.2 
1933.71	229.0 
1934.46	228.8 
1936.63	227.8 
1941.63	227.6 
1942.54	225.8 
1943.63	225.0 
1944.54	223.0 
1954.46	222.8 
1954.46	221.8 
1955.54	220.8 
1956.63	220.6 
1957.54	220.2 
1957.54	218.1 
1958.63	216.0 
1960.71	215.6 
1967.54	213.1 
1974.13	212.2 
1979.63	212.1 
1980.63	211.36
1983.63	211.24
1983.71	210.77
1985.54	209.67
1985.63	209.46
1992.71	208.86
1995.53	207.37
1998.53	206.00
